Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,TN,TX,TAVG,RR,FF_AVG
Kalimantan Barat,KETAPANG,Sungai Laur,Sempurna,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Sungai Kelik,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,23.2,33.8,27.3,0.0,1.0
Kalimantan Barat,KETAPANG,Jelai Hulu,Tebing Berseri,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Laur,Sungai Daka,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Tengah,2023-07-27 00:00:00,12:27 WIB,NASA-NOAA20,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Segar Wangi,2023-08-05 00:00:00,13:14 WIB,NASA-MODIS,High,24.9,34.2,28.4,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,2023-08-08 00:00:00,13:44 WIB,NASA-NOAA20,High,24.4,34.0,28.7,8888.0,3.0
Kalimantan Utara,BULUNGAN,Peso,Lepak Aru,2023-08-31 00:00:00,13:14 WIB,NASA-NOAA20,High,24.2,35.4,28.8,12.9,2.0
Kalimantan Barat,MELAWI,Belimbing,Nanga Entebah,2023-08-08 00:00:00,13:44 WIB,NASA-MODIS,High,22.8,33.4,28.3,0.0,1.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Nanga Tayap,2023-08-05 00:00:00,21:52 WIB,NASA-MODIS,High,24.9,34.2,28.4,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Panggi Ruguk,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,22.4,33.4,27.6,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,SINTANG,Ambalau,Lunjan Tingang,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,23.2,33.5,26.9,0.2,1.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Sebadak Raya,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,2023-06-29 00:00:00,13:37 WIB,NASA-MODIS,High,24.3,34.3,28.3,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,SINTANG,Kayan Hulu,Buluh Merindu,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Betenung,2023-08-14 00:00:00,12:59 WIB,NASA-MODIS,High,23.3,33.0,27.4,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Mungguk Lawang,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Senangan Jaya,2023-08-08 00:00:00,13:44 WIB,NASA-MODIS,High,23.6,33.8,28.0,10.0,1.0
Kalimantan Barat,KETAPANG,Kendawangan,Danau Buntar,2023-08-22 00:00:00,01:19 WIB,NASA-MODIS,High,24.2,34.4,28.5,0.0,4.0
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Besar,2023-08-15 00:00:00,13:42 WIB,NASA-MODIS,High,21.8,34.6,26.5,0.0,2.0
Kalimantan Barat,SAMBAS,Paloh,Tanah Hitam,2023-08-29 00:00:00,21:52 WIB,NASA-MODIS,High,24.7,35.6,29.0,0.0,2.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Lubuk Kakap,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,KETAPANG,Sungai Laur,Merabu Jaya,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Nanga Kelampai,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,SINTANG,Serawai,Mensulung Bio,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.2,33.6,27.2,27.4,0.0
Kalimantan Barat,SAMBAS,Jawai,Sarang Burung Danau,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,23.2,34.2,27.9,0.0,1.0
Kalimantan Barat,SINTANG,Kayan Hulu,Nanga Masau,2023-08-03 00:00:00,13:29 WIB,NASA-MODIS,High,22.2,33.6,27.2,27.4,0.0
Kalimantan Barat,KUBU RAYA,Rasau Jaya,Rasau Jaya Umum,2023-08-19 00:00:00,21:35 WIB,NASA-MODIS,High,24.0,34.4,27.4,3.4,2.0
